date,sendung,prozent,frames,res,url
2018-12-09,h19,4.1%,519F25T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181209_sendung_h19/1/181209_sendung_h19_776k_p11v14.mp4
2018-12-09,t20,6.4%,670F58T,1/1,http://media.tagesschau.de/video/2018/1209/TV-20181209-2022-0701.h264.mp4
2018-12-09,hjo,2.5%,872F24T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181209_sendung_hjo/1/181209_sendung_hjo_776k_p11v14.mp4
2018-12-09,tth,36%,493F123T,1/1,http://media.tagesschau.de/video/2018/1209/TV-20181209-2314-1701.h264.mp4
2018-12-10,h19,4.1%,1025F51T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181210_sendung_h19/1/181210_sendung_h19_776k_p11v14.mp4
2018-12-10,t20,0%,885FNANA,1/1,http://media.tagesschau.de/video/2018/1210/TV-20181210-2023-0901.h264.mp4
2018-12-10,hjo,1.1%,1701F21T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181210_sendung_hjo/1/181210_sendung_hjo_776k_p11v14.mp4
2018-12-10,tth,0%,1826FNANA,1/1,http://media.tagesschau.de/video/2018/1210/TV-20181210-2256-1601.h264.mp4
2018-12-11,h19,7.6%,951F66T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181211_sendung_h19/1/181211_sendung_h19_776k_p11v14.mp4
2018-12-11,t20,0%,964FNANA,1/1,http://media.tagesschau.de/video/2018/1211/TV-20181211-2020-1901.h264.mp4
2018-12-11,hjo,0%,1960FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181211_sendung_hjo/1/181211_sendung_hjo_776k_p11v14.mp4
2018-12-11,tth,0%,1904FNANA,1/1,http://media.tagesschau.de/video/2018/1211/TV-20181211-2319-2501.h264.mp4
2018-12-12,h19,6.4%,949F61T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181212_sendung_h19/1/181212_sendung_h19_776k_p11v14.mp4
2018-12-12,t20,0%,1096FNANA,1/1,http://media.tagesschau.de/video/2018/1212/TV-20181212-2030-5101.h264.mp4
2018-12-12,hjo,0%,1866FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181212_sendung_hjo/1/181212_sendung_hjo_776k_p11v14.mp4
2018-12-12,tth,0%,2033FNANA,1/1,http://media.tagesschau.de/video/2018/1212/TV-20181212-2303-0301.h264.mp4
2018-12-13,h19,6.1%,962F41T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181213_sendung_h19/1/181213_sendung_h19_776k_p11v14.mp4
2018-12-13,t20,0%,935FNANA,1/1,http://media.tagesschau.de/video/2018/1213/TV-20181213-2020-4101.h264.mp4
